pk	sk	product_id	product_name	product_category	price	upc	shipping_amount	product_description	manufacturer	model
1118411	Game#Video Games#PlayStation 2#Guitar Hero - PlayStation 2	1118411	Guitar Hero - PlayStation 2	Game#Video Games#PlayStation 2	4.99	47875956537	3.99	Air guitar is for airheads	Harmonix	69605518051
1099323	Game#Video Games#PC Gaming#Need for Speed: Rivals - Compete Edition - Windows	1099323	Need for Speed: Rivals - Compete Edition - Windows	Game#Video Games#PC Gaming	19.99	14633733440	3.99	Get ready for the complete Need for Speed: Rivals experience	EA	73344
1118296	Game#Video Games#PC Gaming#Final Fantasy XIV: Heavensward - Windows	1118296	Final Fantasy XIV: Heavensward - Windows	Game#Video Games#PC Gaming	39.99	662000000000	3.99	Get ready to take flight with this all-new expansion pack	Square Enix	91557
1162041	HardGood#Audio#iPod and MP3 Players#Apple - iPod touch® 32GB MP3 Player (5th Generation) - Silver	1162041	Apple - iPod touch® 32GB MP3 Player (5th Generation) - Silver	HardGood#Audio#iPod and MP3 Players	249.99	886000000000	0	iOS 8 operating system4" 960x1136 resolution Multi-Touch Retina screenWi-Fi enabled, Bluetooth 4.0	Apple	MD720LL/A
1088665	HardGood#Appliances#Microwaves#Oster - 0.7 Cu. Ft. Compact Microwave - Silver	1088665	Oster - 0.7 Cu. Ft. Compact Microwave - Silver	HardGood#Appliances#Microwaves	79.99	836000000000	0	700 watts of power; 10 power levels and 6 one-touch menu settings; removable glass turntable	Oster	OGG3701
1197082	HardGood#Appliances#Appliance Parts & Accessories#Blueair - SmokeStop Filter for Blueair 200 and 300 Series Air Purifiers - Black	1197082	Blueair - SmokeStop Filter for Blueair 200 and 300 Series Air Purifiers - Black	HardGood#Appliances#Appliance Parts & Accessories	99.99	689000000000	0	3-stage progressive filter; highly activated carbon	Blueair	200SF
1049688	HardGood#Appliances#Irons, Steamers & Sewing Machines#Shark - Professional Lightweight Iron - Red	1049688	Shark - Professional Lightweight Iron - Red	HardGood#Appliances#Irons, Steamers & Sewing Machines	29.99	622000000000	6.99	1500W of power; 180&#176; fill tank; easy-push buttons; tapered button tip; turn dial; stainless-steel soleplate; auto off	Shark	GI305
1167801	HardGood#Appliances#Irons, Steamers & Sewing Machines#Hamilton Beach - Professional Steam Iron - Gray/Silver/White	1167801	Hamilton Beach - Professional Steam Iron - Gray/Silver/White	HardGood#Appliances#Irons, Steamers & Sewing Machines	29.99	40094149773	7.49	Adjustable steam controls; vertical steam; position-sensitive automatic shutoff	Hamilton Beach	14977
1127019	HardGood#Cell Phones#No-Contract Phones#T-Mobile Prepaid - LG 450 No-Contract Cell Phone - Indigo Black	1127019	T-Mobile Prepaid - LG 450 No-Contract Cell Phone - Indigo Black	HardGood#Cell Phones#No-Contract Phones	29.99	610000000000	5.49	Up to 3 hours of usage time; 2.2" 64 x 96 TFT display; talk and text; text-to-speech feature; Bluetooth; 3G speed	T-Mobile Prepaid	LG 450 BLACK PPD CLAM TD KIT
1126083	HardGood#Cell Phones#Unlocked Cell Phones#BLU - Dash Jr W D141w Cell Phone (Unlocked) - Black	1126083	BLU - Dash Jr W D141w Cell Phone (Unlocked) - Black	HardGood#Cell Phones#Unlocked Cell Phones	34.99	849000000000	5.49	Android 2.3 Gingerbread operating system2G speedWi-Fi3.5" TFT capacitive touch screenOnly compatible with GSM carriers, including AT&T and T-Mobile	BLU	D141W BLACK
1019306	HardGood#Name Brands#Apple#Apple - MagSafe 60W Power Adapter for MacBook® and 13" MacBook® Pro - White	1019306	Apple - MagSafe 60W Power Adapter for MacBook® and 13" MacBook® Pro - White	HardGood#Name Brands#Apple	79.99	886000000000	0	Compatible with Apple&#174; MacBook and MacBook Pro with a 13" display; magnetic DC connector; LED indicator lights; travel-friendly design	Apple	MC461LL/A
